,Name,Co-bps,Original Decoding,New Decoding,Smooth Decoding,val lt-co-bps,Filered Trials Decoding
204,firm-sweep-209,-0.399189919817908,0.025974835560301,0.04470288521559460,0.11635888991079400,-0.4067141177974930,0.046089364652301000
205,major-sweep-210,-0.0685909216113234,0.0064104208279409,0.016713485843107,0.022809546899186000,-0.07273094710192920,0.017382460526487700
206,noble-sweep-211,0.135049032624719,0.536643679421077,0.5853863575285070,0.6358318609772230,0.1786714968604060,0.5919798478961060
207,frosty-sweep-212,0.118030586148831,0.506616313480729,0.5484682785487850,0.6111415121851780,0.16024585608841100,0.533428505767856
208,peach-sweep-213,0.0761838051620969,0.115279136236389,0.14400542781874400,0.41902251624193000,0.09203696706369060,0.12785488720897800
209,wobbly-sweep-214,0.0481358801846898,0.24650782366603,0.27719558356771800,0.35326376040183100,0.07775017477603480,0.23103683848604200
210,resilient-sweep-215,-0.854342392287295,0.1339493756075,0.09102423869011980,0.29029580121660200,-0.8360295076407720,0.13218243312135500
211,earnest-sweep-216,0.129363017464302,0.436629032672694,0.4753929019678480,0.5688017832927230,0.17050086984080600,0.457450542247576
212,silvery-sweep-217,0.0849828514134919,0.02240011478358,0.04728948591089380,0.10448822444580600,0.10182442448188300,0.03554206168863430
213,solar-sweep-218,0.0488304536180306,0.0776898224676777,0.04226237914920940,0.08372689096341430,0.03894153718474450,0.09636245316689400
214,lyric-sweep-219,0.110316089366066,0.313855749696839,0.3407145369921980,0.5439205999254830,0.14385538276431800,0.32275256066977500
215,genial-sweep-220,0.112788092747158,0.362458345173052,0.3773638115299420,0.4277611577477510,0.14990509823564600,0.3618718322319740
216,dashing-sweep-221,-0.279360706859607,0.0045537778286549,0.021376380648950600,0.051829963749796200,-0.2728345242029780,0.019175383007208900
217,effortless-sweep-222,0.0858944454543902,0.29050362316338,0.2865837184419290,0.43010134613567700,0.11602651531398900,0.2696963286449530
218,bright-sweep-223,-0.0683962211271732,0.0005781587994939,0.003269430355803130,0.003409444852628290,-0.07213289355692730,0.004132871878280350
219,pious-sweep-224,0.107739187316863,0.274559000412615,0.3013778098157350,0.46559070968298900,0.13753503109402500,0.2821180262220720
220,celestial-sweep-225,0.108287596994802,0.498552095095402,0.5360602724268450,0.6116784558567130,0.14936695377218100,0.5312548534657970
221,vital-sweep-226,0.123919121629554,0.355907152077357,0.38033962064659800,0.5716389810333900,0.1581507741845160,0.3667522840767500
222,dutiful-sweep-227,-2.52552240424028,0.0824020050166499,0.09527701352045900,0.48457990330225100,-2.4651597614578000,0.08383028369104490
223,dainty-sweep-228,0.0283815471350207,0.311564842852776,0.24809414478688800,0.3118406098465610,0.06793964481033730,0.30899337171573400
224,silver-sweep-229,-0.341030439286475,0.0355873917726779,0.052447103200626100,0.15451790514304100,-0.348641445509083,0.05085505315257990
225,good-sweep-230,0.13705855315981,0.453382959577379,0.40548541655465500,0.4849440671345490,0.1737421301213760,0.46723644847912600
226,sandy-sweep-231,0.0894108242317625,0.116546483488362,0.14809687066519100,0.3254715205755080,0.11377099509467000,0.13108049826822800
227,comfy-sweep-232,0.0740353710152295,0.0456765553917822,0.07380466524651460,0.14118021128439900,0.09874533309216100,0.06660790932556060
228,absurd-sweep-233,-0.109099322860127,0.0458067649311531,0.06006875760550400,0.20464480123054900,-0.11467237766567400,0.05680165085559580
229,confused-sweep-234,0.0792923700786108,0.0391869541802785,0.08192862457185980,0.24751052734997100,0.09857353317286470,0.05302238843207370
230,elated-sweep-235,0.0565918210476134,0.376372177029858,0.26529394917088500,0.3700847484109900,0.09527408901172440,0.3988623097669000
231,pretty-sweep-236,0.140120252803963,0.467314928512575,0.5083407664627860,0.578769853747241,0.17732803288536000,0.4842514569774280
232,resilient-sweep-237,0.119065481001482,0.500433216049719,0.5178478060522690,0.5766992051998040,0.14844284799343200,0.5137653392915880
233,jumping-sweep-238,-0.0081340383824362,0.420930475232144,0.5032427438336290,0.5563529061040880,0.017688146918347900,0.4305109151433890
234,scarlet-sweep-239,0.0847351480261289,0.0174507987299272,0.029037155771425700,0.07969094212808660,0.10521407354340100,0.02674287255342530
235,copper-sweep-241,-0.128916142043867,0.0340496604604228,0.05450257202432060,0.16038928079707300,-0.13445560648791700,0.054122881756938300
236,sandy-sweep-242,0.0973244984220579,0.420867955505812,0.44206343055301100,0.5767276409727570,0.13906993325731300,0.42804259689489600
237,youthful-sweep-243,0.0671370608977968,0.0926192518712408,0.11822716517632800,0.23744655287215300,0.0917642778218319,0.09514386117969010
238,peachy-sweep-244,0.0929294387835961,0.505984827921245,0.5381237412513780,0.6181872009330570,0.11933491332189000,0.516564890788364
239,robust-sweep-245,-0.363609375085481,0.0453007794794463,0.07007325490673890,0.1698926727463250,-0.3630053720156510,0.0707349101816071
240,clean-sweep-246,0.0605589771018129,0.0524711876811221,0.07674359328528600,0.17657847277202700,0.08027011294659730,0.06264369507105910
241,denim-sweep-247,0.0887313154037457,0.147682356851205,0.1807445451556550,0.34363780892591700,0.12216988608762800,0.15862758961166900
242,absurd-sweep-248,0.121979340059388,0.30430327518807,0.3503311721043850,0.45481684398317000,0.1573988230392820,0.3143255448281440
243,exalted-sweep-249,0.0829644039039297,0.448715262510599,0.3970404758738570,0.47853160917667100,0.12199602237652100,0.4517731378584070
244,solar-sweep-250,-0.0393580361694715,0.000387366504962,0.0024749945537839200,0.0033840839729789600,-0.04214973917514420,0.003356340004083540
245,denim-sweep-251,0.0686411297964597,0.0928190260980667,0.11359635806040700,0.33139970773328400,0.08471711134561960,0.0965444598589102
246,legendary-sweep-252,-0.0312758807875958,0.0650063409875726,0.07826885298235030,0.32613907931373500,-0.03262497988168670,0.07217064382299230
247,ethereal-sweep-254,0.0662115201388051,0.273002094996301,0.22640502445234200,0.41828239705611500,0.090391544549392,0.2818526598911620
248,olive-sweep-255,-0.0504382925486578,0.0263068704330446,0.047506811147075800,0.15302299685419900,-0.04060520060895020,0.042908252954481400
249,astral-sweep-256,0.1158330563296,0.368301884053043,0.4141225546894670,0.47949392906200500,0.16155212881520900,0.37551167589263600
250,morning-sweep-257,0.0669289672647107,0.176182057515325,0.09508340852615330,0.27973750861218100,0.09902697618078020,0.17962967520182800
251,golden-sweep-258,0.0954455234678876,0.188838721171377,0.21432049090194700,0.5492759152721570,0.12242363574006000,0.2023646377445840
