"Name","State","Notes","User","Tags","Created","Runtime","Sweep","model.context_backward","model.context_forward","model.hidden_size","model.undivided_attn","model.activation","model.dropout","model.dropout_attention","model.dropout_embedding","model.dropout_rates","model.initrange","model.loss_ratio","model.mask_ratio","model.n_heads","model.n_layers","model.norm","model.normal_init","model.random_ratio","setup.agent_gpus","setup.cfg_path","setup.data_dir","setup.dataset","setup.gpu_idx","setup.log_eps","setup.save_dir","setup.save_min_bps","setup.save_model","setup.seed","train.init_lr","train.batch_size","train.e_batch_size","train.early_stopping","train.epochs","train.es_chk_pnt","train.es_min_bps","train.es_patience","train.lag","train.mask_max_span","train.max_grad_norm","train.n_folds","train.optimizer","train.overlap","train.ramp_end","train.ramp_start","train.scheduler","train.seq_len","train.smth_std","train.sweep_enabled","train.sweep_epochs","train.sweep_type","train.val_interval","train.val_type","train.warmup_steps","train.weight_decay","wandb.entity","wandb.log","wandb.log_local","wandb.project","wandb.silent","wandb.sweep.model.context_backward","wandb.sweep.model.context_forward","wandb.sweep.model.hidden_size","wandb.sweep.model.undivided_attn","wandb.sweep.train.init_lr","wandb.sweep.train.warmup_steps","wandb.sweep.train.weight_decay","wandb.sweep_name","he test acausal decoding","he test causal decoding","he test decoding","he test trials co-bps","le test acausal decoding","le test causal decoding","le test decoding","le test trials co-bps","lr","lr0","lr1","lr2","lr3","lr4","me test acausal decoding","me test causal decoding","me test decoding","me test trials co-bps","t_epochs","test acausal decoding","test causal decoding","test co-bps","test decoding","train loss","train loss0","train loss1","train loss2","train loss3","train loss4","val co-bps0","val co-bps1","val co-bps2","val co-bps3","val co-bps4","val heldin loss0","val heldin loss1","val heldin loss2","val heldin loss3","val heldin loss4","val heldout loss0","val heldout loss1","val heldout loss2","val heldout loss3","val heldout loss4","val loss0","val loss1","val loss2","val loss3","val loss4","val lt-co-bps0","val lt-co-bps1","val lt-co-bps2","val lt-co-bps3","val lt-co-bps4"
"fine-sweep-9","finished","-","domenick-m","","2022-09-19T07:54:32.000Z","14015","7csvmkxt","15","5","200","true","relu","0.4","0.7","0.5","0.5","0.01","0.2","0.75","2","4","layer","true","1","[-1]","","data/","mc_rtt","-1","1e-7","runs/","-100","true","80891122","0.015","512","1024","true","10000","0.75","0","150","40","5","200","5","AdamW","24","10000","1000","Cosine","30","60","true","9999","random","20","cross_val","100","1e-7","emory-bg2","true","true","kfold-sweep","true","[3,5,7,12,15]","[1,3,5]","[256,200,128,98,64]","[true,false]","[0.015,0.01,0.005]","[10,50,100,250,500,1000,2500]","[0.00001,0.000001,1e-7,1e-8,1e-9]","my-sweep","0.712693912558986","0.7009499360227869","0.5071558273929373","0.06039427146686468","0.7412218206884666","0.7181697786748396","0.514359049994623","0.06251769826140506","0","0.011742027456746492","0.003273608972836234","0.009475050388386792","0.008828523985443664","0.00614351857028117","0.7383898071915155","0.7200239307373086","0.5215083229531017","0.05595434585435905","9999","0.5851515782780732","0.3891229537979529","0.12244396193960932","0.4467910362681587","0.14741471409797668","0.14309848845005035","0.14021527767181396","0.14694344997406006","0.1453665941953659","0.1485319435596466","0.08950598438226803","0.13332167112619975","0.19050099028361836","0.14772273513643813","0.18493859840242524","0.15531715750694275","0.14338669180870056","0.144342303276062","0.14285513758659363","0.14607909321784973","0.1531829535961151","0.1430342048406601","0.13774944841861725","0.1426021307706833","0.143854022026062","0.15479180216789246","0.1432999223470688","0.14271944761276245","0.14279285073280334","0.14553138613700867","0.04981362468843488","0.08761447081795831","0.19258608644484768","0.166085999950748","0.17632486883179282"
"comic-sweep-1","finished","-","domenick-m","","2022-09-18T01:48:51.000Z","14315","7csvmkxt","15","3","64","false","relu","0.4","0.7","0.5","0.5","0.01","0.2","0.75","2","4","layer","true","1","[-1]","","data/","mc_rtt","-1","1e-7","runs/","-100","true","80891122","0.015","512","1024","true","10000","0.75","0","150","40","5","200","5","AdamW","24","10000","1000","Cosine","30","60","true","9999","random","20","cross_val","100","1e-7","emory-bg2","true","true","kfold-sweep","true","[3,5,7,12,15]","[1,3,5]","[256,200,128,98,64]","[true,false]","[0.015,0.01,0.005]","[10,50,100,250,500,1000,2500]","[0.00001,0.000001,1e-7,1e-8,1e-9]","my-sweep","0.7256464965297382","0.7035594010182972","0.5115225415993145","0.06108099281730203","0.7336231780324172","0.7109766612968711","0.5155154454201827","0.06483387998635777","0","0.011780999903856296","0.0035515219171850794","0.005680735499282184","0.006050469978917087","0.0033917347911752356","0.7450594936783617","0.7185612794762753","0.5143878044199136","0.06051922223717435","9999","0.5417051699110029","0.3713455324254738","0.1260881345754884","0.4388842725396167","0.14696794748306274","0.14417265355587006","0.14929161965847015","0.15006563067436218","0.14492210745811462","0.14683867990970612","0.08483490333808712","0.12895690193212117","0.1877436139401663","0.1444564191334203","0.1813509543141016","0.15537551045417786","0.14369112253189087","0.14449720084667206","0.1429697573184967","0.14602839946746826","0.1533164083957672","0.14318662881851196","0.1378202736377716","0.14264091849327087","0.1439470648765564","0.15486866235733032","0.14356693625450134","0.14285364747047424","0.14288879930973053","0.1455160677433014","0.04878828562182217","0.08483486571688224","0.19421069905839183","0.16625238241654208","0.1710824936681927"
"valiant-sweep-8","finished","-","domenick-m","","2022-09-19T02:51:23.000Z","12623","8q04fjmp","15","5","128","true","relu","0.4","0.7","0.5","0.5","0.01","0.2","0.75","2","4","layer","true","1","[-1]","","data/","mc_rtt","-1","1e-7","runs/","-100","true","80891122","0.015","512","1024","true","10000","0.75","0","150","40","5","200","5","AdamW","24","10000","1000","Cosine","30","60","true","9999","random","20","cross_val","100","1e-7","emory-bg2","true","true","kfold-sweep","true","[3,5,7,12,15]","[1,3,5]","[256,200,128,98,64]","[true,false]","[0.015,0.01,0.005]","[10,50,100,250,500,1000,2500]","[0.00001,0.000001,1e-7,1e-8,1e-9]","my-sweep","0.7232696091577715","0.7065716724858498","0.5194877119326577","0.05407651028525076","0.7436003812593938","0.7189869735972597","0.5196990227659731","0.062380321744570554","0","0.011935715542723909","0.01185740325189345","0.006354198362546735","0.010112025174463165","0.007268042460212575","0.7451393500030663","0.7347463430291781","0.5230565884104087","0.062364182247678646","9999","0.5460682524458829","0.3465185414704298","0.1211411181169138","0.43508261406614807","0.1456134468317032","0.14034858345985413","0.14604854583740234","0.14815182983875275","0.1453967243432999","0.1471376121044159","0.09742356042895484","0.13208754512143958","0.20134647422100335","0.14948027959018356","0.185881579277106","0.1549900472164154","0.1437438726425171","0.1441037803888321","0.14295309782028198","0.14594614505767822","0.1529630422592163","0.14310525357723236","0.13745065033435822","0.14253908395767212","0.14384335279464722","0.1544910967350006","0.143586665391922","0.14246608316898346","0.14285117387771606","0.14542852342128754","0.06462861869255301","0.08438061116583301","0.1967191735103827","0.16416426581000695","0.17464150264514766"
"vibrant-sweep-15","finished","-","domenick-m","","2022-09-19T09:27:14.000Z","7314","zs9tcj2o","15","5","256","false","relu","0.4","0.7","0.5","0.5","0.01","0.2","0.75","2","4","layer","true","1","[-1]","","data/","mc_rtt","-1","1e-7","runs/","-100","true","80891122","0.01","512","1024","true","10000","0.75","0","150","40","5","200","5","AdamW","24","10000","1000","Cosine","30","60","true","9999","random","20","cross_val","100","1e-7","emory-bg2","true","true","kfold-sweep","true","[3,5,7,12,15]","[1,3,5]","[256,200,128,98,64]","[true,false]","[0.015,0.01,0.005]","[10,50,100,250,500,1000,2500]","[0.00001,0.000001,1e-7,1e-8,1e-9]","my-sweep","0.7437317577021658","0.7264767160144041","0.5170164463203337","0.05670263161934745","0.7391474425121355","0.7101373258106642","0.5071938927118654","0.06358026619747173","0","0.007853999935904198","0.007775717771628181","0.004251369389178554","0.006825935326873593","0.006707792870031839","0.7550261903442659","0.7252546462556109","0.5251141240104089","0.058146812934305174","9999","0.5675126592089557","0.41202360227114726","0.11812605801789086","0.4318523519471339","0.1418599635362625","0.14304913580417633","0.14649373292922974","0.14438442885875702","0.14769014716148376","0.14550185203552246","0.08762326880544151","0.14832229890409293","0.1998106046553044","0.16017660082469212","0.1950399134095269","0.15539756417274475","0.1432446539402008","0.14411619305610657","0.1427542120218277","0.14572401344776154","0.15324702858924866","0.1426108479499817","0.137527197599411","0.14225336909294128","0.14359068870544434","0.1548682153224945","0.14308863878250122","0.1424942910671234","0.142630934715271","0.14519889652729034","0.03878580151993042","0.09072290137302624","0.191360280100823","0.16493677963093567","0.1675200450382205"
"mild-sweep-1","finished","-","domenick-m","","2022-09-18T01:48:05.000Z","12774","1qxm909w","12","5","98","true","relu","0.4","0.7","0.5","0.5","0.01","0.2","0.75","2","4","layer","true","1","[-1]","","data/","mc_rtt","-1","1e-7","runs/","-100","true","80891122","0.01","512","1024","true","10000","0.75","0","150","40","5","200","5","AdamW","24","10000","1000","Cosine","30","60","true","9999","random","20","cross_val","100","1e-7","emory-bg2","true","true","kfold-sweep","true","[3,5,7,12,15]","[1,3,5]","[256,200,128,98,64]","[true,false]","[0.015,0.01,0.005]","[10,50,100,250,500,1000,2500]","[0.00001,0.000001,1e-7,1e-8,1e-9]","my-sweep","0.7153433104943112","0.6899248022695526","0.49582841510966247","0.0613654628707448","0.7278163309198065","0.6921006235987024","0.5047336236474084","0.06199687567555624","0","0.00785224475886546","0.007636832528615437","0.0024846682021535545","0.006311982337730074","0.006921228717328773","0.7488167354739517","0.7150806669703738","0.5157748541489107","0.05577496794950914","9999","0.5556264173488064","0.3888743107955711","0.11744618910119882","0.4315005203855903","0.14852474629878998","0.14248941838741302","0.14311495423316956","0.1476399451494217","0.14669066667556763","0.14720948040485382","0.10077371797426828","0.1388977033813894","0.2065479820071922","0.1530598512428323","0.1853635460348759","0.15494930744171145","0.14356786012649536","0.14399710297584534","0.14293843507766724","0.1460128128528595","0.15286001563072205","0.14290666580200195","0.13732105493545532","0.14243575930595398","0.1438494622707367","0.15443502366542816","0.14340507984161377","0.14235377311706543","0.14281469583511353","0.14548029005527496","0.06381582868457537","0.0923972384705011","0.19983190900618003","0.16878131205506994","0.17307542862639091"
"proud-sweep-6","finished","-","domenick-m","","2022-09-18T16:59:06.000Z","12401","1qxm909w","15","3","64","true","relu","0.4","0.7","0.5","0.5","0.01","0.2","0.75","2","4","layer","true","1","[-1]","","data/","mc_rtt","-1","1e-7","runs/","-100","true","80891122","0.005","512","1024","true","10000","0.75","0","150","40","5","200","5","AdamW","24","10000","1000","Cosine","30","60","true","9999","random","20","cross_val","100","1e-7","emory-bg2","true","true","kfold-sweep","true","[3,5,7,12,15]","[1,3,5]","[256,200,128,98,64]","[true,false]","[0.015,0.01,0.005]","[10,50,100,250,500,1000,2500]","[0.00001,0.000001,1e-7,1e-8,1e-9]","my-sweep","0.7086775196159347","0.6787126686374032","0.48812314545261215","0.06815684277500353","0.7261417803629082","0.7054228302829677","0.5141880182490225","0.0625092603625971","0","0.004002042069437184","0.003975476196888543","0.0025405082377724987","0.003224425992444922","0.003144917855840815","0.7331920437812852","0.7168357885717933","0.5191067766249431","0.062316946137727605","9999","0.5485641864288965","0.3821225405930267","0.12243614747791072","0.43088537338232413","0.14737512171268463","0.14229215681552887","0.14410267770290375","0.14680534601211548","0.1443299949169159","0.1464899480342865","0.0883322350368764","0.1358668208784871","0.1997106827351531","0.15811945184422802","0.18460598395565656","0.15530288219451904","0.14365199208259585","0.14412233233451843","0.14279049634933472","0.1460479497909546","0.15321148931980133","0.14300963282585144","0.1375024914741516","0.14226724207401276","0.1438741683959961","0.154788076877594","0.1434938758611679","0.14249283075332642","0.1426616907119751","0.1455128788948059","0.055149671277719005","0.09203223754079184","0.1971851175072328","0.17205537802629223","0.17359550416260006"
"lemon-sweep-1","finished","-","domenick-m","","2022-09-18T02:54:03.000Z","16056","ur3i1uha","15","3","200","false","relu","0.4","0.7","0.5","0.5","0.01","0.2","0.75","2","4","layer","true","1","[-1]","","data/","mc_rtt","-1","1e-7","runs/","-100","true","80891122","0.01","512","1024","true","10000","0.75","0","150","40","5","200","5","AdamW","24","10000","1000","Cosine","30","60","true","9999","random","20","cross_val","100","1e-7","emory-bg2","true","true","kfold-sweep","true","[3,5,7,12,15]","[1,3,5]","[256,200,128,98,64]","[true,false]","[0.015,0.01,0.005]","[10,50,100,250,500,1000,2500]","[0.00001,0.000001,1e-7,1e-8,1e-9]","my-sweep","0.7047355269616276","0.6765721223640312","0.4911365099318087","0.0649717617022292","0.7266233950404342","0.7013688154650493","0.5060127602180406","0.06459186814984677","0","0.007818084853504057","0.0066716278582447655","0.0020891294561339634","0.00578916008570478","0.006906514803234981","0.7380522470483317","0.7206115837647936","0.5234489299009757","0.054843767886412466","9999","0.5666994515992438","0.4133105058778496","0.11990407915600464","0.4304229612024372","0.1480790674686432","0.1444578468799591","0.14550703763961792","0.14661867916584015","0.1468997746706009","0.14537988603115082","0.09154717122294896","0.1258443921635531","0.19384923452194097","0.1573923306942114","0.1819093819814532","0.15531271696090698","0.14365103840827942","0.14422234892845154","0.1427575945854187","0.146065816283226","0.1531134396791458","0.14328095316886902","0.13768646121025083","0.14229460060596466","0.1439405083656311","0.1547713726758957","0.14355993270874023","0.1426135152578354","0.14264363050460815","0.14554265141487122","0.050461816550621125","0.07113327127107641","0.18768324802971345","0.16811721179767886","0.16289164793820057"
"cosmic-sweep-1","finished","-","domenick-m","","2022-09-18T13:27:04.000Z","18198","h777luqh","12","5","64","false","relu","0.4","0.7","0.5","0.5","0.01","0.2","0.75","2","4","layer","true","1","[-1]","","data/","mc_rtt","-1","1e-7","runs/","-100","true","80891122","0.005","512","1024","true","10000","0.75","0","150","40","5","200","5","AdamW","24","10000","1000","Cosine","30","60","true","9999","random","20","cross_val","100","1e-7","emory-bg2","true","true","kfold-sweep","true","[3,5,7,12,15]","[1,3,5]","[256,200,128,98,64]","[true,false]","[0.015,0.01,0.005]","[10,50,100,250,500,1000,2500]","[0.00001,0.000001,1e-7,1e-8,1e-9]","my-sweep","0.7189356323350189","0.7057221838182172","0.5032058295613253","0.05764637566704144","0.7478493366408169","0.7079887885709848","0.5039147905410043","0.05743674493901319","0","0.004534173326214634","0.004418920087616229","0.001106941282949782","0.0030085062978125964","0.0005017318862332415","0.7552398768299557","0.7175401019824829","0.5143711078604685","0.06329762345969438","9999","0.5580801908221618","0.37063922465310134","0.1224751875396566","0.4292235212983323","0.14632506668567655","0.14097271859645844","0.1495867222547531","0.14458754658699036","0.1482325792312622","0.14714065194129944","0.10908066274250848","0.14751840899829743","0.20878440140334947","0.16867241479032674","0.19918852190930225","0.1549786627292633","0.1435333788394928","0.14398451149463654","0.14253512024879456","0.14569947123527527","0.15262246131896973","0.1426694095134735","0.13726991415023804","0.1419948935508728","0.14345937967300415","0.15439867973327637","0.1433207094669342","0.14233165979385376","0.14240214228630066","0.14514805376529694","0.07015323888405037","0.09610691499852755","0.19656434612894347","0.1801089063584861","0.179609049532669"
"prime-sweep-5","finished","-","domenick-m","","2022-09-18T16:13:40.000Z","13490","7csvmkxt","12","5","200","true","relu","0.4","0.7","0.5","0.5","0.01","0.2","0.75","2","4","layer","true","1","[-1]","","data/","mc_rtt","-1","1e-7","runs/","-100","true","80891122","0.005","512","1024","true","10000","0.75","0","150","40","5","200","5","AdamW","24","10000","1000","Cosine","30","60","true","9999","random","20","cross_val","100","1e-7","emory-bg2","true","true","kfold-sweep","true","[3,5,7,12,15]","[1,3,5]","[256,200,128,98,64]","[true,false]","[0.015,0.01,0.005]","[10,50,100,250,500,1000,2500]","[0.00001,0.000001,1e-7,1e-8,1e-9]","my-sweep","0.7182583130685649","0.6812983327411345","0.4861039707659317","0.05701005598222256","0.7353140715431857","0.7022466183609442","0.502872626506196","0.06050833896004944","0","0.003896026307744685","0.0038434147820041033","0.0009075306586830134","0.00251886824521338","0.003002848827216278","0.7317403243605082","0.6965070372073003","0.5088334556473102","0.056803440325042254","9999","0.5802340451773894","0.4102070017001291","0.11472394021418549","0.4287325352186564","0.1477273255586624","0.1429068148136139","0.14553461968898773","0.14852942526340485","0.14654387533664703","0.14524438977241516","0.0984684087775248","0.1461769120748205","0.2062997035528404","0.16093909665620806","0.195185303243","0.1550760269165039","0.14326736330986023","0.14399738609790802","0.1426420509815216","0.14580325782299042","0.15290604531764984","0.14268748462200165","0.13734301924705505","0.1422266811132431","0.14358776807785034","0.15454187989234924","0.14312463998794556","0.14235937595367432","0.14253979921340942","0.1452578902244568","0.05788209401342243","0.08935748811216368","0.19433691282629376","0.16975981809606955","0.17888844222555386"
"jumping-sweep-4","finished","-","domenick-m","","2022-09-18T13:14:56.000Z","13621","a71lkak8","15","5","98","true","relu","0.4","0.7","0.5","0.5","0.01","0.2","0.75","2","4","layer","true","1","[-1]","","data/","mc_rtt","-1","1e-7","runs/","-100","true","80891122","0.015","512","1024","true","10000","0.75","0","150","40","5","200","5","AdamW","24","10000","1000","Cosine","30","60","true","9999","random","20","cross_val","100","1e-7","emory-bg2","true","true","kfold-sweep","true","[3,5,7,12,15]","[1,3,5]","[256,200,128,98,64]","[true,false]","[0.015,0.01,0.005]","[10,50,100,250,500,1000,2500]","[0.00001,0.000001,1e-7,1e-8,1e-9]","my-sweep","0.7201905721221858","0.6959176539236789","0.4919373567793173","0.05691772817099843","0.7342621115937527","0.709712518930967","0.4973357548316858","0.05902452101852568","0","0.014495076015379905","0.014216440749869283","0.0034257520113649127","0.01292189183592383","0.01011134556743598","0.7528998706433768","0.7218337665510892","0.5238135561453365","0.0479160433612244","9999","0.5541311118209917","0.43227877927293257","0.11778806911328273","0.4284246484139755","0.14693062007427216","0.14503227174282074","0.14147615432739258","0.14684592187404633","0.14459481835365295","0.14394353330135343","0.09572323245336832","0.12477787400097444","0.2029109144045769","0.15736431901995213","0.19002118018554248","0.15507584810256958","0.14386984705924988","0.14397351443767548","0.14277780055999756","0.14593258500099182","0.15300093591213226","0.14328238368034363","0.13743466138839722","0.14232367277145386","0.1437136083841324","0.15456509590148926","0.1437252312898636","0.14236395061016083","0.1426660120487213","0.14538636803627014","0.04977910992018985","0.07816639966341202","0.19715835270719223","0.17207986405620884","0.17834153739581013"
