lag,std,r2
80,310,0.937537
80,320,0.940844
80,330,0.943858
80,340,0.946599
80,350,0.949073
80,360,0.951281
80,370,0.953236
80,380,0.954944
80,390,0.956428
80,400,0.957686
90,10,0.337210
90,20,0.453934
90,30,0.525752
90,40,0.580368
90,50,0.624930
90,60,0.661959
90,70,0.693029
90,80,0.719456
90,90,0.742297
90,100,0.762338
90,110,0.780153
90,120,0.796116
90,130,0.810500
90,140,0.823523
90,150,0.835363
90,160,0.846178
90,170,0.856095
90,180,0.865236
90,190,0.873683
90,200,0.881509
90,210,0.888768
90,220,0.895527
90,230,0.901841
90,240,0.907731
90,250,0.913238
90,260,0.918386
90,270,0.923186
90,280,0.927656
90,290,0.931803
90,300,0.935638
90,310,0.939176
90,320,0.942426
90,330,0.945386
90,340,0.948073
90,350,0.950496
90,360,0.952654
90,370,0.954560
90,380,0.956221
90,390,0.957657
90,400,0.958868
100,10,0.341948
100,20,0.459038
100,30,0.530787
100,40,0.585254
100,50,0.629625
100,60,0.666438
100,70,0.697287
100,80,0.723498
100,90,0.746133
100,100,0.765981
100,110,0.783615
100,120,0.799410
100,130,0.813640
100,140,0.826522
100,150,0.838232
100,160,0.848928
100,170,0.858734
100,180,0.867770
100,190,0.876119
100,200,0.883852
100,210,0.891024
100,220,0.897700
100,230,0.903934
100,240,0.909748
100,250,0.915183
100,260,0.920260
100,270,0.924994
100,280,0.929399
100,290,0.933485
100,300,0.937261
100,310,0.940742
100,320,0.943937
100,330,0.946844
100,340,0.949480
100,350,0.951852
100,360,0.953961
100,370,0.955819
100,380,0.957433
100,390,0.958822
100,400,0.959987
110,10,0.346676
110,20,0.464117
110,30,0.535785
110,40,0.590096
110,50,0.634269
110,60,0.670860
110,70,0.701481
110,80,0.727473
110,90,0.749900
110,100,0.769552
110,110,0.787003
110,120,0.802629
110,130,0.816704
110,140,0.829445
110,150,0.841024
110,160,0.851600
110,170,0.861294
110,180,0.870226
110,190,0.878476
110,200,0.886117
110,210,0.893201
110,220,0.899794
110,230,0.905949
110,240,0.911688
110,250,0.917051
110,260,0.922059
110,270,0.926727
110,280,0.931069
110,290,0.935095
110,300,0.938813
110,310,0.942238
110,320,0.945379
110,330,0.948233
110,340,0.950818
110,350,0.953141
110,360,0.955202
110,370,0.957013
110,380,0.958581
110,390,0.959925
110,400,0.961045
120,10,0.351389
120,20,0.469166
120,30,0.540745
120,40,0.594890
120,50,0.638857
120,60,0.675220
120,70,0.705610
120,80,0.731379
120,90,0.753596
120,100,0.773051
120,110,0.790319
120,120,0.805775
120,130,0.819694
120,140,0.832292
120,150,0.843740
120,160,0.854195
120,170,0.863777
120,180,0.872604
120,190,0.880755
120,200,0.888303
120,210,0.895300
120,220,0.901811
120,230,0.907887
120,240,0.913551
120,250,0.918843
120,260,0.923784
120,270,0.928386
120,280,0.932667
120,290,0.936634
120,300,0.940295
120,310,0.943665
120,320,0.946753
120,330,0.949555
120,340,0.952091
120,350,0.954365
120,360,0.956378
120,370,0.958144
120,380,0.959666
120,390,0.960966
120,400,0.962043
130,10,0.356083
130,20,0.474181
130,30,0.545662
130,40,0.599634
130,50,0.643388
130,60,0.679517
130,70,0.709672
130,80,0.735216
130,90,0.757221
130,100,0.776478
130,110,0.793562
130,120,0.808847
130,130,0.822609
130,140,0.835064
130,150,0.846380
130,160,0.856713
130,170,0.866183
130,180,0.874905
130,190,0.882957
130,200,0.890412
130,210,0.897323
130,220,0.903751
130,230,0.909749
130,240,0.915339
130,250,0.920561
130,260,0.925435
130,270,0.929974
130,280,0.934193
130,290,0.938102
130,300,0.941707
130,310,0.945024
130,320,0.948059
130,330,0.950811
130,340,0.953297
130,350,0.955524
130,360,0.957491
130,370,0.959211
130,380,0.960690
130,390,0.961947
130,400,0.962981
140,10,0.360751
140,20,0.479156
140,30,0.550531
140,40,0.604323
140,50,0.647858
140,60,0.683749
140,70,0.713665
140,80,0.738982
140,90,0.760774
140,100,0.779832
140,110,0.796731
140,120,0.811845
140,130,0.825450
140,140,0.837761
140,150,0.848945
140,160,0.859157
140,170,0.868513
140,180,0.877130
140,190,0.885084
140,200,0.892446
140,210,0.899270
140,220,0.905616
140,230,0.911537
140,240,0.917054
140,250,0.922207
140,260,0.927015
140,270,0.931491
140,280,0.935650
140,290,0.939502
140,300,0.943052
140,310,0.946315
140,320,0.949300
140,330,0.952002
140,340,0.954440
140,350,0.956619
140,360,0.958542
140,370,0.960217
140,380,0.961653
140,390,0.962868
140,400,0.963861
150,10,0.365386
150,20,0.484086
150,30,0.555348
150,40,0.608954
150,50,0.652264
150,60,0.687913
150,70,0.717588
150,80,0.742676
150,90,0.764253
150,100,0.783113
150,110,0.799827
150,120,0.814769
150,130,0.828217
150,140,0.840384
150,150,0.851436
150,160,0.861525
150,170,0.870769
150,180,0.879280
150,190,0.887135
150,200,0.894405
150,210,0.901143
150,220,0.907409
150,230,0.913252
150,240,0.918698
150,250,0.923781
150,260,0.928524
150,270,0.932939
150,280,0.937039
150,290,0.940834
150,300,0.944330
150,310,0.947542
150,320,0.950476
150,330,0.953129
150,340,0.955520
150,350,0.957653
150,360,0.959531
150,370,0.961163
150,380,0.962557
150,390,0.963730
150,400,0.964683
160,10,0.369981
160,20,0.488965
160,30,0.560109
160,40,0.613523
160,50,0.656603
160,60,0.692006
160,70,0.721438
160,80,0.746296
160,90,0.767659
160,100,0.786320
160,110,0.802848
160,120,0.817620
160,130,0.830911
160,140,0.842933
160,150,0.853852
160,160,0.863820
160,170,0.872950
160,180,0.881356
160,190,0.889113
160,200,0.896292
160,210,0.902943
160,220,0.909129
160,230,0.914897
160,240,0.920270
160,250,0.925287
160,260,0.929966
160,270,0.934319
160,280,0.938361
160,290,0.942101
160,300,0.945544
160,310,0.948704
160,320,0.951589
160,330,0.954194
160,340,0.956538
160,350,0.958626
160,360,0.960460
160,370,0.962050
160,380,0.963403
160,390,0.964536
160,400,0.965451
170,10,0.374531
170,20,0.493787
170,30,0.564807
170,40,0.618024
170,50,0.660871
170,60,0.696025
170,70,0.725213
170,80,0.749841
170,90,0.770990
170,100,0.789452
170,110,0.805796
170,120,0.820397
170,130,0.833531
170,140,0.845409
170,150,0.856196
170,160,0.866042
170,170,0.875060
170,180,0.883361
170,190,0.891020
170,200,0.898107
170,210,0.904673
170,220,0.910779
170,230,0.916472
170,240,0.921775
170,250,0.926725
170,260,0.931340
170,270,0.935634
170,280,0.939619
170,290,0.943304
170,300,0.946694
170,310,0.949804
170,320,0.952640
170,330,0.955198
170,340,0.957496
170,350,0.959540
170,360,0.961331
170,370,0.962879
170,380,0.964192
170,390,0.965287
170,400,0.966163
180,10,0.379030
180,20,0.498546
180,30,0.569437
180,40,0.622455
180,50,0.665065
180,60,0.699968
180,70,0.728911
180,80,0.753309
180,90,0.774245
180,100,0.792509
180,110,0.808669
180,120,0.823100
180,130,0.836078
180,140,0.847813
180,150,0.858468
180,160,0.868192
180,170,0.877098
180,180,0.885294
180,190,0.892856
180,200,0.899852
180,210,0.906334
180,220,0.912361
180,230,0.917979
180,240,0.923213
180,250,0.928097
180,260,0.932650
180,270,0.936884
180,280,0.940813
180,290,0.944444
180,300,0.947783
180,310,0.950843
180,320,0.953631
180,330,0.956142
180,340,0.958395
180,350,0.960395
180,360,0.962144
180,370,0.963652
180,380,0.964926
180,390,0.965983
180,400,0.966823
190,10,0.383472
190,20,0.503237
190,30,0.573995
190,40,0.626809
190,50,0.669180
190,60,0.703832
190,70,0.732530
190,80,0.756699
190,90,0.777423
190,100,0.795491
190,110,0.811469
190,120,0.825730
190,130,0.838552
190,140,0.850145
190,150,0.860668
190,160,0.870271
190,170,0.879065
190,180,0.887158
190,190,0.894623
190,200,0.901529
190,210,0.907927
190,220,0.913876
190,230,0.919421
190,240,0.924585
190,250,0.929404
190,260,0.933896
190,270,0.938072
190,280,0.941945
190,290,0.945523
190,300,0.948811
190,310,0.951823
190,320,0.954563
190,330,0.957029
190,340,0.959237
190,350,0.961194
190,360,0.962902
190,370,0.964370
190,380,0.965606
190,390,0.966626
190,400,0.967431
200,10,0.387852
200,20,0.507854
200,30,0.578475
200,40,0.631084
200,50,0.673214
200,60,0.707615
200,70,0.736069
200,80,0.760010
200,90,0.780524
200,100,0.798396
200,110,0.814193
200,120,0.828287
200,130,0.840955
200,140,0.852405
200,150,0.862798
200,160,0.872281
200,170,0.880964
200,180,0.888954
200,190,0.896322
200,200,0.903139
200,210,0.909455
200,220,0.915326
200,230,0.920798
200,240,0.925895
200,250,0.930650
200,260,0.935081
200,270,0.939199
200,280,0.943018
200,290,0.946544
200,300,0.949781
200,310,0.952745
200,320,0.955438
200,330,0.957859
200,340,0.960024
200,350,0.961938
200,360,0.963606
200,370,0.965035
200,380,0.966234
200,390,0.967218
200,400,0.967989
210,10,0.392165
210,20,0.512391
210,30,0.582873
210,40,0.635274
210,50,0.677163
210,60,0.711312
210,70,0.739524
210,80,0.763240
210,90,0.783545
210,100,0.801225
210,110,0.816843
210,120,0.830771
210,130,0.843285
210,140,0.854595
210,150,0.864859
210,160,0.874222
210,170,0.882795
210,180,0.890682
210,190,0.897956
210,200,0.904684
210,210,0.910918
210,220,0.916713
210,230,0.922114
210,240,0.927143
210,250,0.931835
210,260,0.936206
210,270,0.940268
210,280,0.944032
210,290,0.947507
210,300,0.950695
210,310,0.953611
210,320,0.956258
210,330,0.958634
210,340,0.960756
210,350,0.962629
210,360,0.964257
210,370,0.965648
210,380,0.966810
210,390,0.967759
210,400,0.968498
220,10,0.396404
220,20,0.516844
220,30,0.587184
220,40,0.639376
220,50,0.681023
220,60,0.714922
220,70,0.742893
220,80,0.766387
220,90,0.786487
220,100,0.803977
220,110,0.819418
220,120,0.833181
220,130,0.845545
220,140,0.856715
220,150,0.866851
220,160,0.876096
220,170,0.884560
220,180,0.892346
220,190,0.899525
220,200,0.906166
220,210,0.912319
220,220,0.918039
220,230,0.923368
220,240,0.928331
220,250,0.932961
220,260,0.937273
220,270,0.941280
220,280,0.944990
220,290,0.948414
220,300,0.951553
220,310,0.954422
220,320,0.957024
220,330,0.959356
220,340,0.961436
220,350,0.963268
220,360,0.964857
220,370,0.966211
220,380,0.967338
220,390,0.968253
220,400,0.968960
230,10,0.400565
230,20,0.521208
230,30,0.591403
230,40,0.643386
230,50,0.684791
230,60,0.718442
230,70,0.746176
230,80,0.769450
230,90,0.789348
230,100,0.806650
230,110,0.821918
230,120,0.835519
230,130,0.847733
230,140,0.858766
230,150,0.868774
230,160,0.877903
230,170,0.886259
230,180,0.893945
230,190,0.901031
230,200,0.907586
230,210,0.913660
230,220,0.919305
230,230,0.924565
230,240,0.929462
230,250,0.934031
230,260,0.938285
230,270,0.942236
230,280,0.945894
230,290,0.949267
230,300,0.952358
230,310,0.955181
230,320,0.957738
230,330,0.960027
230,340,0.962064
230,350,0.963857
230,360,0.965408
230,370,0.966725
230,380,0.967817
230,390,0.968700
230,400,0.969376
240,10,0.404642
240,20,0.525479
240,30,0.595529
240,40,0.647301
240,50,0.688465
240,60,0.721870
240,70,0.749369
240,80,0.772427
240,90,0.792127
240,100,0.809245
240,110,0.824341
240,120,0.837784
240,130,0.849850
240,140,0.860747
240,150,0.870631
240,160,0.879644
240,170,0.887894
240,180,0.895481
240,190,0.902476
240,200,0.908946
240,210,0.914941
240,220,0.920513
240,230,0.925704
240,240,0.930538
240,250,0.935046
240,260,0.939242
240,270,0.943139
240,280,0.946745
240,290,0.950069
240,300,0.953112
240,310,0.955888
240,320,0.958401
240,330,0.960647
240,340,0.962644
240,350,0.964397
240,360,0.965911
240,370,0.967192
240,380,0.968251
240,390,0.969102
240,400,0.969748
250,10,0.408632
250,20,0.529653
250,30,0.599556
250,40,0.651118
250,50,0.692042
250,60,0.725203
250,70,0.752472
250,80,0.775317
250,90,0.794823
250,100,0.811761
250,110,0.826689
250,120,0.839975
250,130,0.851897
250,140,0.862661
250,150,0.872422
250,160,0.881321
250,170,0.889466
250,180,0.896957
250,190,0.903861
250,200,0.910248
250,210,0.916165
250,220,0.921665
250,230,0.926788
250,240,0.931559
250,250,0.936007
250,260,0.940147
250,270,0.943990
250,280,0.947545
250,290,0.950820
250,300,0.953816
250,310,0.956547
250,320,0.959016
250,330,0.961220
250,340,0.963176
250,350,0.964891
250,360,0.966367
250,370,0.967614
250,380,0.968640
250,390,0.969460
250,400,0.970078
260,10,0.412533
260,20,0.533728
260,30,0.603482
260,40,0.654833
260,50,0.695518
260,60,0.728438
260,70,0.755481
260,80,0.778119
260,90,0.797435
260,100,0.814197
260,110,0.828961
260,120,0.842094
260,130,0.853874
260,140,0.864507
260,150,0.874147
260,160,0.882935
260,170,0.890977
260,180,0.898372
260,190,0.905188
260,200,0.911493
260,210,0.917334
260,220,0.922763
260,230,0.927820
260,240,0.932528
260,250,0.936917
260,260,0.941002
260,270,0.944792
260,280,0.948296
260,290,0.951522
260,300,0.954471
260,310,0.957157
260,320,0.959583
260,330,0.961746
260,340,0.963663
260,350,0.965339
260,360,0.966780
260,370,0.967992
260,380,0.968986
260,390,0.969776
260,400,0.970367
270,10,0.416340
270,20,0.537699
270,30,0.607303
270,40,0.658443
270,50,0.698892
270,60,0.731575
270,70,0.758396
270,80,0.780832
270,90,0.799962
270,100,0.816553
270,110,0.831157
270,120,0.844139
270,130,0.855781
270,140,0.866285
270,150,0.875807
270,160,0.884486
270,170,0.892427
270,180,0.899729
270,190,0.906458
270,200,0.912682
270,210,0.918449
270,220,0.923808
270,230,0.928799
270,240,0.933446
270,250,0.937778
270,260,0.941808
270,270,0.945546
270,280,0.949000
270,290,0.952178
270,300,0.955081
270,310,0.957722
270,320,0.960105
270,330,0.962227
270,340,0.964105
270,350,0.965744
270,360,0.967149
270,370,0.968328
270,380,0.969291
270,390,0.970052
270,400,0.970617
280,10,0.420048
280,20,0.541562
280,30,0.611015
280,40,0.661946
280,50,0.702160
280,60,0.734610
280,70,0.761214
280,80,0.783453
280,90,0.802403
280,100,0.818827
280,110,0.833275
280,120,0.846112
280,130,0.857618
280,140,0.867997
280,150,0.877403
280,160,0.885975
280,170,0.893818
280,180,0.901028
280,190,0.907672
280,200,0.913817
280,210,0.919511
280,220,0.924802
280,230,0.929730
280,240,0.934316
280,250,0.938591
280,260,0.942567
280,270,0.946253
280,280,0.949658
280,290,0.952788
280,300,0.955646
280,310,0.958243
280,320,0.960584
280,330,0.962666
280,340,0.964505
280,350,0.966107
280,360,0.967478
280,370,0.968624
280,380,0.969557
280,390,0.970290
280,400,0.970829
290,10,0.423651
290,20,0.545312
290,30,0.614615
290,40,0.665338
290,50,0.705320
290,60,0.737542
290,70,0.763935
290,80,0.785982
290,90,0.804758
290,100,0.821020
290,110,0.835316
290,120,0.848012
290,130,0.859386
290,140,0.869643
290,150,0.878936
290,160,0.887404
290,170,0.895151
290,180,0.902271
290,190,0.908833
290,200,0.914901
290,210,0.920523
290,220,0.925747
290,230,0.930611
290,240,0.935139
290,250,0.939358
290,260,0.943280
290,270,0.946916
290,280,0.950272
290,290,0.953355
290,300,0.956168
290,310,0.958722
290,320,0.961021
290,330,0.963063
290,340,0.964864
290,350,0.966430
290,360,0.967767
290,370,0.968882
290,380,0.969785
290,390,0.970491
290,400,0.971006
300,10,0.427143
300,20,0.548944
300,30,0.618098
300,40,0.668616
300,50,0.708371
300,60,0.740369
300,70,0.766557
300,80,0.788419
300,90,0.807025
300,100,0.823130
300,110,0.837280
300,120,0.849838
300,130,0.861084
300,140,0.871223
300,150,0.880406
300,160,0.888773
300,170,0.896426
300,180,0.903460
300,190,0.909940
300,200,0.915933
300,210,0.921485
300,220,0.926644
300,230,0.931447
300,240,0.935916
300,250,0.940081
300,260,0.943950
300,270,0.947536
300,280,0.950844
300,290,0.953880
300,300,0.956649
300,310,0.959160
300,320,0.961418
300,330,0.963421
300,340,0.965184
300,350,0.966715
300,360,0.968019
300,370,0.969102
300,380,0.969977
300,390,0.970658
300,400,0.971150
310,10,0.430519
310,20,0.552453
310,30,0.621461
310,40,0.671777
310,50,0.711309
310,60,0.743090
310,70,0.769078
310,80,0.790760
310,90,0.809203
310,100,0.825158
310,110,0.839166
310,120,0.851591
310,130,0.862714
310,140,0.872738
310,150,0.881815
310,160,0.890084
310,170,0.897645
310,180,0.904595
310,190,0.910996
310,200,0.916916
310,210,0.922400
310,220,0.927495
310,230,0.932237
310,240,0.936650
310,250,0.940760
310,260,0.944579
310,270,0.948115
310,280,0.951375
310,290,0.954366
310,300,0.957090
310,310,0.959559
310,320,0.961777
310,330,0.963741
310,340,0.965467
310,350,0.966964
310,360,0.968235
310,370,0.969288
310,380,0.970136
310,390,0.970791
310,400,0.971261
320,10,0.433774
320,20,0.555835
320,30,0.624700
320,40,0.674819
320,50,0.714133
320,60,0.745702
320,70,0.771497
320,80,0.793007
320,90,0.811293
320,100,0.827102
320,110,0.840974
320,120,0.853271
320,130,0.864274
320,140,0.874188
320,150,0.883162
320,160,0.891336
320,170,0.898810
320,180,0.905677
320,190,0.912002
320,200,0.917851
320,210,0.923268
320,220,0.928301
320,230,0.932985
320,240,0.937342
320,250,0.941399
320,260,0.945166
320,270,0.948654
320,280,0.951867
320,290,0.954813
320,300,0.957494
320,310,0.959921
320,320,0.962099
320,330,0.964025
320,340,0.965715
320,350,0.967177
320,360,0.968417
320,370,0.969441
320,380,0.970262
320,390,0.970893
320,400,0.971341
330,10,0.436906
330,20,0.559086
330,30,0.627812
330,40,0.677739
330,50,0.716841
330,60,0.748205
330,70,0.773814
330,80,0.795157
330,90,0.813292
330,100,0.828962
330,110,0.842703
330,120,0.854878
330,130,0.865767
330,140,0.875573
330,150,0.884449
330,160,0.892531
330,170,0.899920
330,180,0.906708
330,190,0.912959
330,200,0.918738
330,210,0.924092
330,220,0.929064
330,230,0.933690
330,240,0.937992
330,250,0.941998
330,260,0.945715
330,270,0.949155
330,280,0.952322
330,290,0.955224
330,300,0.957861
330,310,0.960247
330,320,0.962386
