lag,std,r2
390,320,0.963467
390,330,0.965146
390,340,0.966603
390,350,0.967848
390,360,0.968888
390,370,0.969729
390,380,0.970387
390,390,0.970875
390,400,0.971202
400,10,0.455137
400,20,0.578040
400,30,0.645937
400,40,0.694671
400,50,0.732454
400,60,0.762570
400,70,0.787078
400,80,0.807457
400,90,0.824732
400,100,0.839612
400,110,0.852611
400,120,0.864086
400,130,0.874319
400,140,0.883511
400,150,0.891815
400,160,0.899363
400,170,0.906252
400,180,0.912570
400,190,0.918379
400,200,0.923740
400,210,0.928700
400,220,0.933296
400,230,0.937564
400,240,0.941523
400,250,0.945197
400,260,0.948594
400,270,0.951724
400,280,0.954590
400,290,0.957199
400,300,0.959557
400,310,0.961674
400,320,0.963555
400,330,0.965202
400,340,0.966629
400,350,0.967846
400,360,0.968861
400,370,0.969680
400,380,0.970318
400,390,0.970789
400,400,0.971102
